Provinsi,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ACEH,1299699,1329536,1368074,1419128,1382905,1486909,1478712,1404580,1246614,1314165,1547499,1552078,1411650,1350748,1533369,1402287,1556858,1582393,1772962,1788738,1956940,1820062,2331046
SUMATERA UTARA,2918152,3079960,3134533,3136760,3212208,3321049,3451430,3514253,3291515,3153305,3403075,3418782,3447394,3007636,3265834,3340794,3527899,3582302,3607403,3715514,3727249,3631039,4044829
SUMATERA BARAT,1806424,1747543,1829192,1971180,1787719,1807622,1897678,1759059,1668955,1875834,1823739,1875188,1907390,1889489,1938120,1965634,2105790,2211248,2279602,2368390,2430384,2519020,2550609
RIAU,436297,445361,458756,461905,416135,370124,461630,431351,413391,396644,414237,454186,424095,42938,490087,494260,531429,574864,535788,512152,434144,385475,393917
JAMBI,607529,564722,593502,657650,572269,550277,553641,536779,556564,561007,578346,579404,579635,544597,58663,581704,644947,628828,646641,625164,664535,664720,541486
SUMATERA SELATAN,1409559,1347611,1557944,1666591,1577398,1931505,1789961,1863643,1723433,1899849,1977345,2260794,2320110,2456251,2753044,2971286,3125236,3272451,3384670,3295247,3676723,3670435,4247922
BENGKULU,356709,334232,377337,396977,382123,375533,381577,362979,376973,379818,413375,414741,441276,378377,470469,484900,510160,516869,502552,581910,622832,593194,578654
LAMPUNG,1646900,1615751,1943709,1971740,1753656,1975700,1801422,1946406,1992726,1951109,1966293,2091996,2124144,2129914,2308404,2341075,2673844,2807676,2940795,3101455,3207002,3320064,3641895
KEP. BANGKA BELITUNG,-,-,-,-,-,-,-,-,16430,10317,12173,18763,19027,16506,2439,15079,19864,22259,15211,22395,28480,23481,27068
KEP. RIAU,-,-,-,-,-,-,-,-,-,-,-,-,312,332,343,404,430,1246,1223,1323,1370,1403,959
DKI JAKARTA,28488,22965,19309,17347,16491,14488,15813,16275,16886,11303,7558,13465,13335,6197,8002,8352,11013,11164,9516,11044,10268,7541,6361
JAWA BARAT,10820862,9860375,10722717,10747659,10352650,9795638,9993014,10749868,9237593,9166872,8776889,9602302,9787217,9418572,9914019,10111069,11322681,11737070,11633891,11271861,12083162,11644899,11373144
JAWA TENGAH,8174897,7722611,8198084,8359105,8328756,8594043,8345854,8475412,8289927,8503523,8123839,8512555,8424096,8729291,8616855,9136405,9600415,10110830,9391959,10232934,10344816,9648104,11301422
DI YOGYAKARTA,644642,643266,642120,661179,647198,621605,612393,654289,661802,653577,652280,692998,670703,708163,709294,798232,837930,823887,842934,946224,921824,919573,945136
JAWA TIMUR,8627784,8296348,8572668,8628766,8533839,8691519,8956196,9224353,8672791,8803878,8914995,9002025,9007265,9346947,9402029,10474773,11259085,11643773,10576543,12198707,12049342,12397049,13154967
BANTEN,-,-,-,-,-,-,-,-,1433397,1468765,1691923,1812495,1861776,1751468,1816140,1818166,1849007,2048047,1949714,1865893,2083608,2045883,2188996
BALI,837054,801495,831172,840564,791196,825934,836055,826838,789232,808970,793260,788360,786961,840891,839775,840465,878764,869161,858316,865553,882092,857944,853710
NUSA TENGGARA BARAT,1186926,1187513,1235882,1291140,1294483,1344717,1396077,1488191,1458616,1370171,1422440,1466757,1367869,1552627,1526347,1750677,1870775,1774499,2067137,2114231,2193698,2116637,2417392
NUSA TENGGARA TIMUR,381915,410757,419929,465534,463154,432219,473000,461413,448001,468011,509419,552205,461007,511911,505628,577895,607359,555493,591371,698566,729666,825728,948088
KALIMANTAN BARAT,770136,766542,827669,838563,829106,827499,969658,903191,941630,985489,1027122,1060652,1023684,1107661,1225259,1321443,1300798,1343888,1372988,1300100,1441876,1372695,1275707
KALIMANTAN TENGAH,313729,362497,378129,395896,379548,277141,306567,362630,360084,395239,490080,590434,492250,491712,562473,522732,578761,650416,610236,755507,812652,838207,893202
KALIMANTAN SELATAN,1138140,1123082,1189062,1214038,1203184,1052481,1380443,1332364,1406070,1346007,1410141,1519432,1598835,1636840,1953868,1954284,1956993,1842089,2038309,2086221,2031029,2094590,2140276
KALIMANTAN TIMUR,254730,308154,362193,408969,411745,170256,409884,401955,366708,442633,430286,486167,499558,541171,567501,586031,555560,588879,552616,561959,439439,426567,408782
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124724,115620,112102
SULAWESI UTARA,393314,391186,397113,475018,393593,302890,367804,514477,310802,346079,369930,407358,432624,454902,49495,520193,549087,584030,596223,615062,638373,637927,674169
SULAWESI TENGAH,462505,449185,539648,583879,523682,494401,639739,576933,520642,746023,738607,725725,716906,739777,857508,985418,953396,957108,1041789,1024316,1031364,1022054,1015368
SULAWESI SELATAN,3303591,3467984,3727081,4052228,3769450,3560834,3870842,3658836,3728736,3893915,4003079,3552835,3390397,3365509,3635139,4083356,4324178,4382443,4511705,5003011,5035830,5426097,5471806
SULAWESI TENGGARA,220919,246936,287355,305940,260334,276913,346214,314955,263477,298813,334307,322362,339847,349429,423316,405256,407367,454644,491567,516291,561361,657617,660720
GORONTALO,-,-,-,-,-,-,-,-,158871,153222,156158,163094,167152,192583,200421,237873,256934,253563,273921,245786,295913,314704,331220
SULAWESI BARAT,-,-,-,-,-,-,-,-,-,-,-,-,253886,301616,312676,343221,310706,362900,365683,412338,445030,449621,461844
MALUKU,51330,29904,35151,31240,17878,39483,48857,36288,33885,12033,31189,36148,37239,49833,57132,75826,89875,83109,87468,84271,101835,102761,117791
MALUKU UTARA,-,-,-,-,-,-,-,-,-,-,60131,51800,57945,59215,48531,51599,46253,55401,61430,65686,72445,72074,75265
PAPUA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,24702,27073,28204,39537,36985,34254,29304,30245,29912,27665,30219
PAPUA,37090,42864,49115,49903,38386,59064,81926,81534,75031,73123,57889,63367,60810,68319,81678,85699,98511,102610,115437,138032,169791,196015,181769